Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
25-34,HOSPITALITY & EVENTS,Administrative Assistant,14500,2000,EUR,NA,Spain,Unknown,A Coruña,5-7 years,2 - 4 years,Some College,Woman
35-44,COMPUTING OR TECH,Senior Web Developer,60000,2000,EUR,NA,Spain,Unknown,A Coruña,21 - 30 years,21 - 30 years,Master'S Degree,Man
25-34,EDUCATION (PRIMARY/SECONDARY),Teacher,82650,0,USD,NA,United States,Massachusetts,A Suburb Of Boston,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Non-binary
45-54,COMPUTING OR TECH,Database Administrator,61000,10000,EUR,NA,Germany,Unknown,Aachen,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Administrative Assistant,51000,2000,CAD,NA,Canada,British Columbia,Abbotsford,5-7 years,5-7 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Director,110000,2000,CAD,NA,Canada,British Columbia,Abbotsford,11 - 20 years,2 - 4 years,PH.D.,Woman
45-54,LAW,Family Lawyer,95000,2000,CAD,NA,Canada,British Columbia,Abbotsford,11 - 20 years,2 - 4 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,OIL AND GAS,Administrative Assistant,22000,3000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Pupil Support Assistant,13000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,11 - 20 years,1 year or less,Master'S Degree,Woman
35-44,OIL & GAS,SAP PM Analyst,80000,0,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Secondary School English Teacher,33000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,8 - 10 years,2 - 4 years,Master'S Degree,Woman
35-44,NONPROFITS,Assistant Curate,24975,2000,GBP,NA,United Kingdom,Unknown,Aberdeen,11 - 20 years,2 - 4 years,PH.D.,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Marine Project Officer,27946,0,GBP,NA,United Kingdom,Unknown,Aberdeen,5-7 years,5-7 years,Master'S Degree,Woman
25-34,NONPROFITS,Operations Administrator,22200,0,GBP,NA,United Kingdom,Unknown,Aberdeen,11 - 20 years,5-7 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Principal Engineer,52000,6000,GBP,NA,United Kingdom,Unknown,Aberdeen,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Senior Planning Engineer,54000,2500,GBP,NA,United Kingdom,Unknown,Aberdeen,11 - 20 years,8 - 10 years,Master'S Degree,Man
35-44,COMPUTING OR TECH,Senior Quality Analyst,40300,500,GBP,NA,United Kingdom,Unknown,Aberdeen,11 - 20 years,11 - 20 years,High School,Man
55-64,"ACCOUNTING, BANKING & FINANCE",Accounting Specialist IV,68556,2000,USD,NA,United States,Washington,Aberdeen,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,HEALTH CARE,Communications Lead (Hospital),34000,300,USD,NA,United States,South Dakota,Aberdeen,11 - 20 years,8 - 10 years,High School,Woman
35-44,GOVERNMENT  & PUBLIC ADMINISTRATION,Configuration Management Specialist,113000,5000,USD,NA,United States,Maryland,Aberdeen,11 - 20 years,8 - 10 years,College Degree,Woman
18-24,RETAIL,Online Grocery Associate,31200,2000,USD,NA,United States,South Dakota,Aberdeen,1 year or less,1 year or less,Some College,Woman
55-64,SALES,Staff Accountant,40000,500,USD,NA,United States,Washington,Aberdeen,41 years or more,31 - 40 years,College Degree,Woman
45-54,UTILITIES & TELECOMMUNICATIONS,Data Analyst,27600,500,GBP,NA,Great Britain,Unknown,Aberdeen,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Senior Design Engineer,61000,2000,GBP,NA,United Kingdom,Unknown,Aberdeen,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Public Affairs Specialist,75176,2000,USD,NA,United States,Maryland,Aberdeen Proving Ground,8 - 10 years,2 - 4 years,Master'S Degree,Woman
25-34,RETAIL,Customer Assistant,40000,2000,GBP,NA,United Kingdom,Unknown,Aberdeenshire,1 year or less,1 year or less,Some College,Woman
25-34,ENERGY,HR and Operations Manager,67500,0,USD,NA,Cote D'Ivoire,Abidjan District,Abidjan,8 - 10 years,5-7 years,College Degree,Woman
55-64,MANUFACTURING,Human Resources Manager,95000,15000,USD,NA,United States,Texas,Abilene,21 - 30 years,21 - 30 years,Some College,Woman
35-44,HEALTH CARE,Operations Manager,50000,3000,USD,NA,United States,Texas,Abilene,5-7 years,2 - 4 years,College Degree,Other \ prefer not to answer
35-44,PROPERTY OR CONSTRUCTION,HR  Manager,41600,2000,USD,NA,United States,Texas,Abilene,11 - 20 years,2 - 4 years,College Degree,Woman
45-54,HEALTH CARE,Medical Office Coordinator,43000,5000,USD,NA,United States,Pennsylvania,Abington,21 - 30 years,21 - 30 years,Some College,Woman
25-34,HEALTH CARE,Project Manager,56000,1000,USD,NA,United States,Pennsylvania,Abington,5-7 years,2 - 4 years,Master'S Degree,Woman
35-44,TRANSPORT OR LOGISTICS,Chief Operating Officer,132000,2000,USD,NA,Ghana,Greater Accra Region,Accra,11 - 20 years,11 - 20 years,College Degree,Man
25-34,NONPROFITS,Country Support Manager,82583,0,USD,NA,Ghana,Greater Accra Region,Accra,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,COMPUTING OR TECH,Data Scientist,500,2000,USD,NA,Ghana,Greater Accra Region,Accra,2 - 4 years,2 - 4 years,College Degree,Man
35-44,EDUCATION (PRIMARY/SECONDARY),Special Education Teacher,82000,2000,USD,NA,United States,Massachusetts,"Acton, Ma",8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Maintenance Technician,45760,24180,USD,NA,United States,Georgia,Adairsville,8 - 10 years,2 - 4 years,High School,Man
25-34,ENGINEERING OR MANUFACTURING,Process Engineer,86000,1000,USD,NA,United States,Louisiana,Addis,2 - 4 years,1 year or less,College Degree,Man
45-54,COMPUTING OR TECH,Senior Systems Analyst,116250,2000,USD,NA,United States,Illinois,Addison,11 - 20 years,8 - 10 years,Master'S Degree,Woman
55-64,COMPUTING OR TECH,"Vice President,  HR",145000,23000,USD,NA,United States,Texas,Addison,21 - 30 years,21 - 30 years,Some College,Woman
35-44,EDUCATION (HIGHER EDUCATION),Assistant Professor,120000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,5-7 years,PH.D.,Woman
25-34,AGRICULTURE OR FORESTRY,Assistant Winemaker,50768,7000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,"LEISURE, SPORT & TOURISM",Business Development Officer,50000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,MEDIA & DIGITAL,Content Producer,120000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,21 - 30 years,5-7 years,College Degree,Woman
25-34,RETAIL,Customer Service Manager,72000,10000,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,High School,Woman
35-44,NONPROFITS,Events And Fundraising Coordinator,65000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,21 - 30 years,11 - 20 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Executive Assistant,103516,9834,AUD/NZD,-,Australia,South Australia,Adelaide,21 - 30 years,21 - 30 years,High School,Woman
45-54,HEALTH CARE,Executive Assistant,63000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,21 - 30 years,21 - 30 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,Human Factors Engineer,103000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Instructional Designer,82000,8000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,NONPROFITS,Intake Officer,70000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,NONPROFITS,Intake Officer,70000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,NONPROFITS,Intake Officer,70000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,MEDIA & DIGITAL,Journalist,76000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,GOVERNMENT & PUBLIC ADMINISTRATION,Manager Records Administration,90000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Some College,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Program Manager,118000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Project Officer,72100,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,2 - 4 years,1 year or less,College Degree,Woman
35-44,LAW,Risk & Compliance Consultant,85000,1600,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Some College,Non-binary
45-54,GOVERNMENT & PUBLIC ADMINISTRATION,Risk Compliance Officer,67000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,21 - 30 years,2 - 4 years,High School,Woman
35-44,HOSPITALITY & EVENTS,Senior Event Officer,89000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Project Officer,98000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Some College,Woman
25-34,HEALTH CARE,Senior Project Officer,95000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Some College,Woman
35-44,COMPUTING OR TECH,Site Reliability Engineer,130000,10000,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,8 - 10 years,College Degree,Man
35-44,COMPUTING OR TECH,Software Team Lead,137000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,EDUCATION (PRIMARY/SECONDARY),Support Services Officer Level 1,61577,5850,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,Some College,Woman
25-34,HEALTH CARE,Technical Officer,55000,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,SCIENCE/BIOTECH,Head Of Production,65000,0,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,8 - 10 years,College Degree,Woman
18-24,"ACCOUNTING, BANKING & FINANCE",Personal Assistant,67800,2000,AUD/NZD,NA,Australia,South Australia,Adelaide,5-7 years,2 - 4 years,High School,Woman
25-34,NONPROFITS,Governance And Administration Officer,68816,0,AUD/NZD,NA,Australia,South Australia,Adelaide,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,Senior Business Analyst,140000,19000,USD,NA,United States,Illinois,Affluent Chicago Suburb,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,NONPROFITS,Communications Specialist,90000,2000,USD,NA,Africa,Africa,Africa,5-7 years,5-7 years,Master'S Degree,Woman
35-44,NONPROFITS,Business Analyst,95000,0,USD,NA,United States,Massachusetts,Agawam,8 - 10 years,5-7 years,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Paraprofessional,20000,0,USD,NA,United States,Massachusetts,Agawam,5-7 years,5-7 years,College Degree,Woman
35-44,SALES,Administrative Assistant,16000,2015,USD,NA,United States,Unknown,Aguadilla,5-7 years,5-7 years,College Degree,Woman
35-44,CULTURAL RESOURCES MANAGEMENT/MAJOR UNIV.,Assistant Curator and Outreach Coordinator,30000,0,USD,NA,United States,South Carolina,Aiken,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,RETAIL,General Manager,30160,2000,USD,NA,United States,South Carolina,Aiken,2 - 4 years,1 year or less,Some College,Man
55-64,RETAIL,Key Holder/Lead Supervisor,29120,175,USD,NA,United States,South Carolina,Aiken,21 - 30 years,8 - 10 years,College Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Mechanical Engineer,70000,2000,USD,NA,United States,South Carolina,Aiken,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,NATIONAL LABORATORY,Senior Engineer A,115000,2000,USD,NA,United States,South Carolina,Aiken,5-7 years,5-7 years,PH.D.,Woman
25-34,HEALTH CARE,Activities Coordinator,33800,1000,USD,NA,United States,Nebraska,Ainsworth,8 - 10 years,1 year or less,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Success Coach,54000,2000,CAD,NA,Canada,Alberta,Airdrie,5-7 years,2 - 4 years,Master'S Degree,Other \ prefer not to answer
35-44,UTILITIES & TELECOMMUNICATIONS,Accountant,54000,2000,USD,NA,United States,Ohio,Akron,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Architectural Project Manager,77000,0,USD,NA,United States,Ohio,Akron,21 - 30 years,21 - 30 years,College Degree,Woman
45-54,HEALTH CARE,Business Support Specialist,55000,2000,USD,NA,United States,Ohio,Akron,11 - 20 years,11 - 20 years,Some College,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Chief Fiscal Officer,53,0,USD,NA,United States,Ohio,Akron,11 - 20 years,8 - 10 years,Master'S Degree,Man
55-64,COMPUTING OR TECH,Customer Success Manger,54000,2000,USD,NA,United States,Ohio,Akron,31 - 40 years,21 - 30 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Director Of Administration,72000,0,USD,NA,United States,Ohio,Akron,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Electrical Engineer,79000,0,USD,NA,United States,Ohio,Akron,5-7 years,2 - 4 years,Master'S Degree,Man
25-34,COMPUTING OR TECH,"Lead Analyst, Supply Chain Information Systems",111000,13320,USD,NA,United States,Ohio,Akron,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Lead Analytical Scientist,102000,15000,USD,NA,United States,Ohio,Akron,11 - 20 years,11 - 20 years,PH.D.,Man
35-44,EDUCATION (HIGHER EDUCATION),Library Services Coordinator,35000,2000,USD,NA,United States,Ohio,Akron,8 - 10 years,2 - 4 years,Master'S Degree,Non-binary
35-44,NONPROFITS,Managing Director,93000,3000,USD,NA,United States,Ohio,Akron,21 - 30 years,5-7 years,PH.D.,Woman
55-64,HEALTH CARE,Medical Education Coordinator,52000,2000,USD,NA,United States,Ohio,Akron,31 - 40 years,21 - 30 years,Master'S Degree,Woman
45-54,HEALTH CARE,Physical Therapist Assistant,49920,0,USD,NA,United States,Ohio,Akron,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Reporting Analyst,66000,0,USD,NA,United States,Ohio,Akron,11 - 20 years,8 - 10 years,College Degree,Woman
18-24,COMPUTING OR TECH,Soc Analyst,60000,0,USD,NA,United States,Ohio,Akron,2 - 4 years,2 - 4 years,College Degree,Woman
45-54,GOVERNMENT & PUBLIC ADMINISTRATION,Tax Examiner,87000,0,USD,NA,United States,Ohio,Akron,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,COMPUTING OR TECH,Team Lead - Technical Writing,73000,2000,USD,NA,United States,Ohio,Akron,21 - 30 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Career Advisor,38500,0,USD,NA,United States,Ohio,"Akron, Ohio",2 - 4 years,2 - 4 years,Master'S Degree,Man
35-44,OIL & GAS,Principal Engineer,107045,35553,USD,NA,Saudi Arabia,Unknown,Al Khobar,21 - 30 years,21 - 30 years,Master'S Degree,Man
25-34,ART & DESIGN,Multimedia Designer,64000,1500,USD,NA,United States,Alabama,Alabama,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Junior Data Analyst,35000,15000,USD,NA,United States,Alabama,Alabama,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,BIOTECH,Manager Of Donor Management,93000,20000,USD,NA,United States,California,Alameda,11 - 20 years,2 - 4 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Manufacturing Engineer,110000,0,USD,NA,United States,California,Alameda,5-7 years,2 - 4 years,College Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Scientist I,82000,1700,USD,NA,United States,California,Alameda,2 - 4 years,5-7 years,PH.D.,Woman
45-54,BEAUTY/SERVICE INDUSTRY,Senior Hair Stylist,72800,4000,USD,NA,United States,California,Alameda,21 - 30 years,11 - 20 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,Staff Engineer,145000,4000,USD,NA,United States,California,Alameda,5-7 years,5-7 years,PH.D.,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Educator,60000,0,USD,NA,United States,New Mexico,Alamogordo,21 - 30 years,11 - 20 years,Master'S Degree,Woman
55-64,NONPROFITS,Tech Project Coordinator,42000,300,USD,NA,United States,New Mexico,Alamogordo,41 years or more,21 - 30 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,Administrative Assistant,42224,2000,USD,NA,United States,New York,Albany,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,COMPUTING OR TECH,Analyst,68000,3000,USD,NA,United States,New York,Albany,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Assistant Attorney General,120000,2000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,EDUCATION (HIGHER EDUCATION),Assistant Librarian,57500,0,USD,NA,United States,New York,Albany,8 - 10 years,2 - 4 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Assistant Professor,74000,0,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,PH.D.,Woman
18-24,"ACCOUNTING, BANKING & FINANCE",Associate 1,65000,11000,USD,NA,United States,Georgia,Albany,1 year or less,2 - 4 years,College Degree,Woman
25-34,TRANSPORT OR LOGISTICS,Associate Capital Program Analyst,80700,2000,USD,NA,United States,New York,Albany,8 - 10 years,5-7 years,Master'S Degree,Man
25-34,GOVERNMENT  & PUBLIC ADMINISTRATION,Associate Counsel,99415,2000,USD,NA,United States,New York,Albany,8 - 10 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,GOVERNMENT  & PUBLIC ADMINISTRATION,Associate Counsel,55000,0,USD,NA,United States,New York,Albany,2 - 4 years,2 - 4 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,EDUCATION (HIGHER EDUCATION),Associate Director of Career Development,48750,2000,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Master'S Degree,Woman
45-54,GOVERNMENT  & PUBLIC ADMINISTRATION,Associate Director Of Public Health Program,135000,0,USD,NA,United States,New York,Albany,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,LAW,Associate In-House Counsel,115000,7000,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,ENTERTAINMENT,Author,14000,2000,USD,NA,United States,"Maryland, New York",Albany,21 - 30 years,11 - 20 years,College Degree,Woman
18-24,FAST FOOD,Barista,31200,2000,USD,NA,United States,New York,Albany,1 year or less,1 year or less,High School,Other \ prefer not to answer
35-44,LIBRARY,Branch Manager,60000,0,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,HEALTH CARE,Certified Massage Therapist,160000,2000,USD,NA,United States,California,Albany,21 - 30 years,11 - 20 years,Some College,Man
25-34,EDUCATION (HIGHER EDUCATION),Circulation Supervisor,18000,0,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,PHARMA & BIOTECH,Clinical Operations Associate Director,125760,10000,USD,NA,United States,New York,Albany,8 - 10 years,5-7 years,Master'S Degree,Woman
45-54,GOVERNMENT AND PUBLIC ADMINISTRATION,Contract Manager,68500,2000,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Some College,Other \ prefer not to answer
35-44,COMPUTING OR TECH,Data Scientist,150000,2000,USD,NA,United States,New York,Albany,5-7 years,2 - 4 years,Master'S Degree,Non-binary
45-54,NONPROFITS,Director,53500,0,USD,NA,United States,New York,Albany,21 - 30 years,11 - 20 years,College Degree,Woman
35-44,UNKNOWN,Director,36000,2000,USD,NA,United States,Georgia,Albany,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Director Of Student Life,73000,3000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Electrical Engineer,100700,20000,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,NONPROFITS,Executive Director,88000,0,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Geographic Information Systems(GIS)   Specialist,64000,2000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,HEALTH CARE,Global Communications Manager,87500,14000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Health Program Administrator 1,75000,0,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Master'S Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,HR  Director,107000,7000,USD,NA,United States,New York,Albany,21 - 30 years,11 - 20 years,College Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Human Resources And Accounts Receivable,58000,3600,USD,NA,United States,New York,Albany,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,LAW,Immigration Attorney,56000,0,USD,NA,United States,New York,Albany,5-7 years,1 year or less,"Professional Degree (MD, Jd, Etc.)",Man
35-44,GOVERNMENT  & PUBLIC ADMINISTRATION,Intelligence Analyst  I - Information Systems,89600,0,USD,NA,United States,New York,Albany,11 - 20 years,8 - 10 years,Master'S Degree,Man
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Internal Audit Director,92000,0,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
18-24,RETAIL,Manager,35360,2000,USD,NA,United States,New York,Albany,2 - 4 years,2 - 4 years,Some College,Man
35-44,"MARKETING, ADVERTISING & PR",Marketing Director,106000,0,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,HEALTH CARE,Nurse Manager,75000,0,USD,NA,United States,New York,Albany,11 - 20 years,5-7 years,College Degree,Woman
25-34,HEALTH CARE,Pharmacy Manager,138400,2000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,GOVERNMENT & PUBLIC ADMINISTRATION,Policy Analyst,86000,3500,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Process Engineer,91000,17000,USD,NA,United States,New York,Albany,5-7 years,5-7 years,Master'S Degree,Man
18-24,NONPROFITS,Program Coordinator,46425,2000,USD,NA,United States,New York,Albany,2 - 4 years,1 year or less,College Degree,Woman
18-24,NONPROFITS,Program Coordinator,46425,2000,USD,NA,United States,New York,Albany,2 - 4 years,1 year or less,College Degree,Woman
35-44,GOVERNMENT & PUBLIC ADMINISTRATION,Program Research Specialist,92000,2000,USD,NA,United States,New York,Albany,21 - 30 years,11 - 20 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Registrar,58900,0,USD,NA,United States,New York,Albany,21 - 30 years,21 - 30 years,Master'S Degree,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Research Administrator,35500,1400,USD,NA,United States,New York,Albany,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Research Assistant II,76485,0,USD,NA,United States,New York,Albany,2 - 4 years,2 - 4 years,PH.D.,Woman
25-34,HEALTH CARE,Research Coordinator,52000,0,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,College Degree,Woman
45-54,PHARMACEUTICAL RESEARCH (CHEMIST),Research Scientist II,64000,20,USD,NA,United States,New York,Albany,21 - 30 years,21 - 30 years,Master'S Degree,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Research Specialist,76000,0,USD,NA,United States,New York,Albany,5-7 years,5-7 years,Master'S Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Residential Life Faculty,43000,2000,USD,NA,United States,New York,Albany,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Safety & Health Inspector,53000,0,USD,NA,United States,New York,Albany,21 - 30 years,8 - 10 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Administrative Analyst,58363,2000,USD,NA,United States,New York,Albany,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,"Senior Court Analyst, Records Management",75000,0,USD,NA,United States,New York,Albany,11 - 20 years,8 - 10 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Customer Success Manager,71309,7130,USD,NA,United States,New York,Albany,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,LEARNING AND DEVELOPMENT,Senior Education Specialist,62000,500,USD,NA,United States,New York,Albany,8 - 10 years,5-7 years,College Degree,Man
25-34,UTILITIES & TELECOMMUNICATIONS,Senior Graphic Designer,60900,3000,USD,NA,United States,New York,Albany,8 - 10 years,5-7 years,College Degree,Woman
55-64,"ACCOUNTING, BANKING & FINANCE",Tax Accountant,75000,5000,USD,NA,United States,New York,Albany,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Teachers Aide,35000,0,USD,NA,United States,New York,Albany,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Transportation Construction Inspector Iii,42000,0,USD,NA,United States,New York,Albany,5-7 years,2 - 4 years,College Degree,Woman
18-24,BUSINESS OR CONSULTING,Analyst,50000,3500,USD,NA,United States,New York,Albany,1 year or less,1 year or less,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Health Program Administrator,95000,2000,USD,NA,United States,New York,Albany,21 - 30 years,21 - 30 years,Master'S Degree,Non-binary
35-44,BUSINESS OR CONSULTING,Inclusion Strategist,82500,0,USD,NA,United States,New York,Albany,11 - 20 years,1 year or less,PH.D.,Woman
35-44,COMPUTING OR TECH,Solution Architect,180000,2000,USD,NA,United States,New York,Albany,11 - 20 years,11 - 20 years,Master'S Degree,Man
25-34,EDUCATION (HIGHER EDUCATION),Hall Director,36000,2000,USD,NA,United States,New York,Albany Region,5-7 years,5-7 years,Master'S Degree,Woman
